first_name,last_name,email,role
Allisson,Consorte,allisson@teste12.com,user
Teste,Teste,xd@xd.com,admin
yogenator,yogada,xx@aaa.com,user
aayogenator,yasogada,xsaasx@aaa.com,user
yogenatogasgsar,ygsagsaogada,xgasgasx@aaa.com,user
123123dsa,213132,124@asdads.com,user
123123dsa,213132,124@asdads.codasm,user
123123dsa,213132,124@asdads.codaasdsm,user
123123dsa,213132,124@asdads.codaasdasdsm,user
123123dsa,213132,124@asdads.codaasdasdsadsm,user
123123dsa,213132,124@asdaddsas.codaasdasdsadsm,user
123123dsa,213132,124@asdaddsaasds.codaasdasdsadsm,user
